Suggestions_2028,count
Obey what the people says,1
They should be careful about the party members,1
"There should be team support 
Provide the needful for the community ",1
Depends on what the current MP will ,1
Provide clean water ,1
"Come out with better policies , job creation ",1
Nothing ,1
Fulfill ,1
Fulfill your promises ,1
"Job creation,massive campaign ",1
Depends on what will help the community ,1
Be careful with members and leaders,1
 Depends on what the current MP will do ,1
Does what he says ,1
Depends on the performance ,1
Job creation and amenities ,1
Provide jobs and stop corruption ,1
Door to door camping and know what people needs,1
Provision of more infrastructure,1
"Fulfill their promise 
Low standard of living ",1
They should do what's needed on time ,1
Job creation and team work ,1
Provision of amenities should be spread throughout the areas in the Upper West Akim  constituency ,1
Provision of jobs and constructing good roads,1
Good policies that will benefit the community ,1
Fulfill  their promise,1
Roads and job creation and electricity extension ,1
They should focus on key issues ,1
"Fulfill their promises, come out with best policies ",1
Reduce cost of wood ,1
Buy motor for the okada riders,1
Construction of road,1
They should work on major issues ,1
They should work on our lavatory ,1
Build more lavatory ,1
Control sand winning ,1
NDC will always win ,1
Fulfill their ,1
God policies ,1
Should have good policies ,1
Massive campaign ,1
Should apply more effort,1
Do what ever they promise ,1
Manage the affairs of the state well,1
To obey their promises ,1
Supply the community with their needs,1
Provide what the citizens demand ,1
Fulfill what they say ,1
Stop mishandling mon,1
"Job creation, reduce inflation, fulfill their promises ",1
Should be careful and stop sharing of money,1
"Should be team support 
He should never give up ",1
Work very hard,1
Good roads and job creation ,1
Provide jobs,1
Provide jobd,1
Manage the states well,1
Build pipes Borne water,1
Provide public toilet ,1
"They can't win again
",1
"Job creation, stop Mishandling the money ",1
Just bring peace ,1
Protect lands of farmers,1
Continue from where the current MP stopped,1
"Fulfill their promises, reduce inflation ",1
Provide employment to the youth,1
Stop destroying our lands ,1
More infrastructure and job Creation ,1
Provide the needful for the community,1
Low standard of living ,1
Fulfill their purpose ,1
They should provide employment to the youth,1
They should work harder,1
They should solve all problems in the community,1
Job creation and light extension ,1
Try harder next time,1
Do what is necessary ,1
DC area,1
More infrastructure infrastructure ,1
They should be visible in reaching out to the people ,1
Create portable water ,1
Stability in the economy ,1
Provide potable water ,1
Continuity of projects ,1
They should provide social amenities ,1
Construction of health services ,1
Provision of jobs ,1
They should provide amenities ,1
Provide employment and source of clean water,1
Construct market,1
Asuokaw ,1
They should be better in reaching out to the people ,1
"Fulfill their promises, his team should help him ",1
Work idea,1
 More infrastructure ,1
Be able to manage the states affairs properly ,1
Work well,1
Introduction of companies,1
They should do their homework well ,1
Come out with a better policy ,1
Open job vacancies ,1
Reduce the cost of living and they were pompous ,1
I don't know ,1
They should open job vacancies ,1
Job opportunities,1
Solve the problems around ,1
Stop mishandling money,1
Avoiding partiality ,1
Continue from where the current MP left,1
Fulfill their work,1
Development ,1
Depends on the developmental project ,1
Fulfill his promise ,1
Developmental projects ,1
Be careful of party members,1
Focus on what the youth needs,1
Does what he says,1
Should change their leaders,1
Depends on what ever the current MP will do,1
Job opportunities ,1
Create more portable water ,1
Visit most localities,1
Supporting the youth ,1
Continue to work hard,1
Helping the community in developmental projects ,1
They'll never win ,1
Reduce the cost on items,1
Should provide social amenities,1
Fulfill their promises their promises ,1
They should support the aged ,1
"No idea
",1
Continuing community projects ,1
Provision of jobs and farming materials ,1
Do developmental works,1
Help farmers with farming tools ,1
more infrastructure and job creation,1
More jobs and development ,1
They should ensure peace ,1
Do their work well and provide more jobs,1
Be careful about his leaders,1
Solve major problems next time,1
They should provide more jobs ,1
Viable to know the needs of the people ,1
Restore farm land's and job Creation ,1
Visible to know the problems ,1
More infrastructure and team work ,1
Fulfill their,1
Help improve the town ,1
"Come out with better policies,fulfill their promises ",1
Proper policies to benefit the entire community ,1
Build a public toilet ,1
Provide the lavatory ,1
Good policies to help the youth ,1
Provide electricity ,1
Fulfill his promises ,1
Should work hard,1
"Come out better policies, change his leaders",1
Continue to work hard ,1
Better policies to help the people ,1
Create more educational facility ,1
Job creation and employment ,1
Job creation and infrastructure ,1
Provide education,1
Asikasu ,1
"Stop mismanaging money,job creation ",1
Visible to the people to know their problems ,1
Focus on the provision of social amenities ,1
Creation jobs for the youth ,1
Provision of good drinking water ,1
They should provide jobs,1
They should fulfill their promise ,1
"Job creation, handle money well",1
Provide what the citizens says ,1
God will show,1
They should work with time ,1
I'll always vote NDC ,1
Job creation and more infrastructure projects ,1
Krodua,1
Building more infrastructure ,1
Job creation and more ,1
Can do better next time,1
Can still win next time,1
Asuotwene ,1
Do what the citizens needs,1
"Reduce inflation, job creation ",1
They should fulfill their promises,1
Provide more rubbish container,1
Help the community ,1
Provide potable drinking water ,1
"Fulfill their promises,reduce inflation ",1
Do what the citizens demands ,1
32,1
"Job creation,stop Mishandling money ",1
"Provide the needful for the community 
Fulfill their promise ",1
They should do what's necessary ,1
Do what the community needs,1
Construction of the road ,1
Provide health facilities ,1
 Come out with better policies ,1
Job creation and more infrastructure projects,1
Should do better,1
Depends on what the current MP ,1
"Come out with better policies, job creation ",1
Providing good drinking water ,1
"Fulfill their promises ,change his leaders ",1
Providing good drinking ,1
Provide more road,1
Network fixation and job opportunities ,1
Help farmers,1
They should help ease up inflation ,1
Do the work in the community ,1
Provisions of social amenities ,1
Do their homework ,1
Build a network poll,1
Good policy ,1
Fulfill policies ,1
Abam,1
Help the community in their needs ,1
Fulfill their promises,1
Depends on what the current MP will do you ,1
Job creation and more infrastructure opportunities ,1
Stop mining activity ,1
Yes ,1
Provision of social amenities before election ,1
Be careful about delegates,1
Provision of social amenities before election period ,1
More infrastructure and job development ,1
Support at work places and more opportunities ,1
Providing social amenities for the entire community ,1
Network fixation ,1
Provide more water ,1
Job creation and more infrastructure,1
Provide the water facility ,1
Solving the problem of poor network ,1
Avoid sharing money,1
Continue construction of the road ,1
Kumi krom ,1
They should focus more on the youth ,1
They must be vigilant ,1
Network fixation and job creation ,1
More infrastructure and job creation and network fixation ,1
Provide employment and social amenities i,1
Network fixation and infrastructure ,1
Can do better,1
Provision of social amenities in various communities ,1
Fulfilling promises earlier before election period ,1
Continuing projects of previous government ,1
Good projects that will benefit the entire community ,1
Network fixation and more infrastructure,1
Fulfilling good policies on time ,1
They will never win again,1
Keep their promises ,1
They won't win again,1
They will never win because they don't listen ,1
Good promises ,1
If Mahama doesn't do what he says,1
I dont know ,1
Be careful about people close to them,1
They should continue policies ,1
Fulfilling policies before election ,1
Good performance ,1
Providing amenities to all communities ,1
Providing social amenities ,1
Kantanyensua,1
"Fulfill their project
Provide the needful for the community ",1
Factories ,1
Adom doesn't have any problem but next time he should come up with projects early ,1
They should elect better leaders ,1
Better project ,1
So they should reduce inflation and dollar rates ,1
